posteam,ASR
IND,0.028
NYG,0.033
ATL,0.041
DET,0.043
NO,0.047
NE,0.049
CIN,0.051
NYJ,0.054
TEN,0.056
STL,0.056
DAL,0.058
HOU,0.059
TB,0.061
SEA,0.062
MIA,0.063
DEN,0.064
BUF,0.065
KC,0.068
SD,0.068
MIN,0.068
GB,0.072
WAS,0.073
CLE,0.076
JAC,0.077
BAL,0.079
OAK,0.083
ARI,0.084
PHI,0.084
PIT,0.086
SF,0.089
CAR,0.099
CHI,0.104
