Team,Season,ALY,ASR,SROA_rushing,SROA_passing,winning_percentage,percentage_yards_rushing,percentage_yards_passing,percent_td_rush
LAC,2018,4.8,0.064,1.092005684,1.062330623,0.75,0.2967974740640505,0.7032025259359496,0.32
KC,2018,4.37,0.054,1.141336839,1.149051491,0.75,0.2721991701244813,0.7278008298755188,0.23529411764705882
DEN,2018,4.75,0.063,0.991693466,0.975609756,0.375,0.42683823529411763,0.5731617647058824,0.5
SEA,2018,4.5,0.104,1.064804554,0.932249322,0.625,0.498668695321415,0.501331304678585,0.28846153846153844
DAL,2018,4.61,0.097,1.037578945,0.975609756,0.625,0.3652892561983471,0.6347107438016528,0.3611111111111111
CAR,2018,4.55,0.061,1.141336839,1.040650407,0.4375,0.4280028943560058,0.5719971056439942,0.3695652173913043
WAS,2018,3.96,0.085,0.975324208,0.910569106,0.4375,0.43180105501130367,0.5681989449886964,0.3870967741935484
ARI,2018,4,0.092,0.788559998,0.780487805,0.1875,0.49528301886792453,0.5047169811320755,0.32142857142857145
GB,2018,4.71,0.079,1.042480893,0.975609756,0.40625,0.34365079365079365,0.6563492063492063,0.35
CHI,2018,3.92,0.06,1.037578945,1.01897019,0.75,0.3615451388888889,0.6384548611111112,0.36363636363636365
NYJ,2018,3.59,0.067,0.74705684000000006,0.910569106,0.25,0.39090909090909093,0.6090909090909091,0.34375
DET,2018,4.14,0.063,0.91184879,0.975609756,0.375,0.4043351396415173,0.5956648603584827,0.3333333333333333
OAK,2018,4.49,0.087,1.099833682,1.040650407,0.25,0.3741234221598878,0.6258765778401122,0.2903225806451613
NE,2017,5.05,0.064,1.250536281,1.093455112,0.8125,0.36558078315235276,0.6344192168476472,0.32727272727272727
KC,2017,4.14,0.067,1.080421655,1.083740227,0.625,0.3821257815373299,0.6178742184626701,0.32558139534883723
BUF,2017,3.67,0.093,1.022337546,0.961553829,0.5625,0.45454545454545453,0.5454545454545454,0.41935483870967744
NYJ,2017,3.4,0.086,0.926898428,0.977173612,0.3125,0.4200143472022956,0.5799856527977044,0.3888888888888889
WAS,2017,3.86,0.077,0.91423502,1.03325488,0.4375,0.2659613279824881,0.7340386720175118,0.23255813953488372
PHI,2017,3.85,0.062,1.09533918,1.01659684,0.8125,0.416,0.5840000000000001,0.20754716981132076
OAK,2017,4.17,0.046,1.011177526,0.980784906,0.375,0.3012465373961219,0.698753462603878,0.325
TEN,2017,3.85,0.064,1.017193184,0.990691824,0.5625,0.3779092702169625,0.6220907297830375,0.5263157894736842
HOU,2017,3.89,0.092,1.031318824,0.998602291,0.25,0.3334756618274979,0.6665243381725021,0.21428571428571427
ARI,2017,4.02,0.081,0.907291463,0.929394838,0.5,0.3330457290767903,0.6669542709232097,0.2
DET,2017,3.16,0.075,0.826694761,1.036786513,0.5625,0.25895212966453074,0.7410478703354693,0.2391304347826087
CLE,2017,4.09,0.076,1.152395183,0.798777701,0,0.28188833408987746,0.7181116659101225,0.36363636363636365
PIT,2017,4.36,0.039,1.010223426,1.123007952,0.8125,0.3282991729593671,0.6717008270406328,0.2765957446808511
ATL,2017,4.35,0.048,1.069911192,1.124914587,0.625,0.367498051441933,0.632501948558067,0.34146341463414637
CHI,2017,3.65,0.077,1.008301498,0.892040655,0.3125,0.3929656969170647,0.6070343030829353,0.4666666666666667
CIN,2017,3.79,0.072,0.943250396,0.959160964,0.4375,0.3835139318885449,0.6164860681114551,0.22857142857142856
BAL,2017,4.36,0.043,1.124942942,0.916477454,0.5625,0.4627862595419847,0.5372137404580153,0.42105263157894735
IND,2017,3.98,0.1,0.972624483,0.948204422,0.25,0.3791712504583792,0.6208287495416208,0.36363636363636365
CAR,2017,3.78,0.071,1.064187621,0.96334873,0.6875,0.4700149925037481,0.5299850074962519,0.40476190476190477
SF,2017,4.2,0.068,1.067933599,0.963881022,0.375,0.35920640445527324,0.6407935955447268,0.5
SEA,2017,3.18,0.081,0.99301979,1.027488949,0.5625,0.3273415326395459,0.6726584673604541,0.12195121951219512
GB,2017,4.6,0.086,1.265755754,0.981557786,0.4375,0.32797175362887404,0.672028246371126,0.29545454545454547
DAL,2017,4.66,0.064,1.234950083,0.983873297,0.5625,0.4184481393507522,0.5815518606492478,0.4090909090909091
NYG,2017,4.06,0.058,0.916387209,0.986144386,0.1875,0.39697859840537136,0.6030214015946287,0.25
NO,2017,4.93,0.04,1.091486052,1.120315053,0.6875,0.34689075630252103,0.653109243697479,0.49019607843137253
MIN,2017,3.96,0.044,1.019179756,1.077424089,0.8125,0.35554755043227665,0.6444524495677233,0.36363636363636365
DEN,2017,4.31,0.091,0.980701949,0.916692505,0.3125,0.3834972210346302,0.6165027789653699,0.29411764705882354
TB,2017,4.06,0.065,0.945516647,1.11669085,0.3125,0.34,0.6599999999999999,0.2222222222222222
MIA,2017,3.26,0.058,0.964544585,0.952183205,0.375,0.30133657351154314,0.6986634264884568,0.125
DEN,2016,4.09,0.074,0.955365267,0.981340698,0.5625,0.3902834008097166,0.6097165991902834,0.375
CAR,2016,3.83,0.062,0.98449571,0.956542915,0.375,0.3501727115716753,0.6498272884283247,0.4186046511627907
ATL,2016,4.4,0.065,1.098108472,1.183458449,0.6875,0.2955725190839695,0.7044274809160305,0.3333333333333333
