Team,percentage_yards_rushing,NA
TB,0.2811454072145779,2012
TEN,0.36614918591442636,2012
WAS,0.43653250773993807,2012
ARI,0.353720296065446,2013
ATL,0.2785009861932939,2013
BAL,0.3329694323144105,2013
BUF,0.4055346771438333,2013
CAR,0.3400562851782364,2013
CHI,0.33357771260997066,2013
CIN,0.32778229082047117,2013
CLE,0.28869202709744657,2013
DAL,0.3311811621724269,2013
DEN,0.28748940977125104,2013
DET,0.29201101928374656,2013
GB,0.3581979320531758,2013
HOU,0.36247256766642283,2013
IND,0.3660104459622338,2013
JAX,0.41939443535188214,2013
KC,0.33148558758314856,2013
LAC,0.3643724696356275,2013
LAR,0.46306231943871234,2013
MIA,0.3953174245835209,2013
MIN,0.37025008119519326,2013
NE,0.3826512766701644,2013
NO,0.2498476538695917,2013
NYG,0.33894132129667626,2013
NYJ,0.3887897179578722,2013
OAK,0.3616649178034278,2013
PHI,0.35876993166287013,2013
PIT,0.3877644894204232,2013
SEA,0.4046783625730994,2013
SF,0.41569219162580157,2013
TB,0.4322476879774829,2013
TEN,0.3916632274040446,2013
WAS,0.36590038314176243,2013
ARI,0.27680798004987534,2014
ATL,0.30617559523809523,2014
BAL,0.313312258517738,2014
BUF,0.3302063789868668,2014
CAR,0.3885647607934656,2014
CHI,0.34148974451241454,2014
CIN,0.42044178210408084,2014
CLE,0.3965851765618937,2014
DAL,0.3857036485480268,2014
DEN,0.3358297201418999,2014
DET,0.23339517625231912,2014
GB,0.3471971066907776,2014
HOU,0.31093589304079533,2014
IND,0.33747412008281574,2014
JAX,0.45835010060362175,2014
KC,0.45399469897766,2014
LAC,0.3147281238746849,2014
LAR,0.37823834196891193,2014
MIA,0.3712438189425637,2014
MIN,0.4147613317288408,2014
NE,0.2837418018639972,2014
NO,0.3933291378225299,2014
NYG,0.377449168207024,2014
NYJ,0.3725065047701648,2014
OAK,0.36183103332211375,2014
PHI,0.33562822719449226,2014
PIT,0.22691481746599856,2014
SEA,0.4992526158445441,2014
SF,0.40686078978859197,2014
TB,0.33625954198473285,2014
TEN,0.41700109449106165,2014
WAS,0.3668960521550163,2014
ARI,0.35456475583864117,2015
ATL,0.33408662900188324,2015
BAL,0.25932568149210905,2015
BUF,0.39121482498284144,2015
CAR,0.38824470211915235,2015
CHI,0.3409090909090909,2015
CIN,0.3584973166368515,2015
CLE,0.3365091463414634,2015
DAL,0.3443565780014378,2015
DEN,0.3776387802971071,2015
DET,0.3213395083719273,2015
GB,0.3826530612244898,2015
HOU,0.37423076923076926,2015
IND,0.3351934523809524,2015
JAX,0.3082160689968225,2015
KC,0.4066410009624639,2015
LAC,0.3267361111111111,2015
LAR,0.4160839160839161,2015
MIA,0.4200210010500525,2015
MIN,0.4626579854461892,2015
NE,0.27462437395659434,2015
NO,0.28627808136004856,2015
NYG,0.2628272251308901,2015
NYJ,0.4234808702175544,2015
OAK,0.3476411446249033,2015
PHI,0.3864516129032258,2015
PIT,0.2876500193573364,2015
SEA,0.39733707077785563,2015
SF,0.3486745213549337,2015
TB,0.4048723897911833,2015
TEN,0.39761283103319656,2015
WAS,0.2948661693725318,2015
ARI,0.27044917257683215,2016
ATL,0.2955725190839695,2016
BAL,0.2980808493262556,2016
BUF,0.49495586380832285,2016
CAR,0.3501727115716753,2016
CHI,0.38578487267198786,2016
CIN,0.3544201135442011,2016
CLE,0.3972500929022668,2016
DAL,0.42977433479285954,2016
DEN,0.3902834008097166,2016
DET,0.31463009143807147,2016
GB,0.31636916065324727,2016
HOU,0.329635499207607,2016
IND,0.3213102686786897,2016
JAX,0.3935082258781681,2016
KC,0.3152854511970534,2016
LAC,0.3413715146948003,2016
LAR,0.3029445073612684,2016
MIA,0.40229459659511474,2016
MIN,0.3283705541770058,2016
NE,0.305337812616648,2016
NO,0.3298364702252391,2016
NYG,0.2576402321083172,2016
NYJ,0.308964986533282,2016
OAK,0.3360232408005165,2016
PHI,0.349478390461997,2016
PIT,0.3015253636041149,2016
SEA,0.2894736842105263,2016
SF,0.46597731821214144,2016
TB,0.32241630276564776,2016
TEN,0.38772455089820357,2016
WAS,0.3673536146548904,2016
ARI,0.3330457290767903,2017
ATL,0.367498051441933,2017
BAL,0.4627862595419847,2017
BUF,0.45454545454545453,2017
CAR,0.4700149925037481,2017
CHI,0.3929656969170647,2017
CIN,0.3835139318885449,2017
CLE,0.28188833408987746,2017
DAL,0.4184481393507522,2017
DEN,0.3834972210346302,2017
DET,0.25895212966453074,2017
GB,0.32797175362887404,2017
HOU,0.3334756618274979,2017
IND,0.3791712504583792,2017
JAX,0.374258329529895,2017
KC,0.3821257815373299,2017
LAC,0.3641398407753548,2017
LAR,0.3424591738712776,2017
MIA,0.30133657351154314,2017
MIN,0.35554755043227665,2017
NE,0.36558078315235276,2017
NO,0.34689075630252103,2017
NYG,0.39697859840537136,2017
NYJ,0.4200143472022956,2017
OAK,0.3012465373961219,2017
PHI,0.416,2017
PIT,0.3282991729593671,2017
SEA,0.3273415326395459,2017
SF,0.35920640445527324,2017
TB,0.34,2017
TEN,0.3779092702169625,2017
WAS,0.2659613279824881,2017
ARI,0.49528301886792453,2018
ATL,0.3664016591773246,2018
BAL,0.5254629629629629,2018
BUF,0.3801945181255526,2018
CAR,0.4280028943560058,2018
CHI,0.3615451388888889,2018
CIN,0.37438625204582654,2018
CLE,0.3991031390134529,2018
DAL,0.3652892561983471,2018
DEN,0.42683823529411763,2018
DET,0.4043351396415173,2018
GB,0.34365079365079365,2018
