posteam,ALY
NE,4.82
JAC,4.63
NYJ,4.56
HOU,4.52
KC,4.44
NO,4.42
NYG,4.22
ATL,4.19
BAL,4.19
PHI,4.17
MIN,4.15
DAL,4.14
SF,4.14
SD,4.12
OAK,4.11
MIA,4.07
CLE,4.04
CIN,4.04
PIT,3.87
BUF,3.85
ARI,3.84
IND,3.82
GB,3.82
WAS,3.81
TB,3.78
STL,3.77
CAR,3.74
SEA,3.67
CHI,3.64
DEN,3.6
TEN,3.47
DET,3.35
