posteam,ASR
DEN,0.036
DET,0.045
CIN,0.052
NO,0.053
CHI,0.055
IND,0.056
ATL,0.059
SD,0.059
NE,0.061
DAL,0.062
HOU,0.066
TEN,0.067
ARI,0.068
STL,0.068
PIT,0.073
BAL,0.073
CLE,0.075
NYG,0.076
WAS,0.076
KC,0.077
TB,0.077
SF,0.078
MIN,0.078
JAC,0.079
CAR,0.082
GB,0.083
NYJ,0.084
OAK,0.085
BUF,0.085
MIA,0.086
PHI,0.094
SEA,0.096
,
