posteam,ALY,,,,,,,,,
NE,4.63,,,,,,,,,
KC,4.33,,,,,,,,,
SD,4.26,,,,,,,,,
DAL,4.23,,,,,,,,,
GB,4.11,,,,,,,,,
HOU,4.1,,,,,,,,,
NO,4.08,,,,,,,,,
DEN,4.07,,,,,,,,,
SEA,4.05,,,,,,,,,
MIN,4.04,,,,,,,,,
CIN,4.03,,,,,,,,,
STL,3.95,,,,,,,,,
DET,3.94,,,,,,,,,
CAR,3.91,,,,,,,,,
IND,3.89,,,,,,,,,
BUF,3.85,,,,,,,,,
ARI,3.84,,,,,,,,,
CLE,3.83,,,,,,,,,
TEN,3.82,,,,,,,,,
CHI,3.8,,,,,,,,,
NYJ,3.79,,,,,,,,,
PIT,3.79,,,,,,,,,
WAS,3.75,,,,,,,,,
ATL,3.74,,,,,,,,,
PHI,3.71,,,,,,,,,
OAK,3.71,,,,,,,,,
TB,3.63,,,,,,,,,
MIA,3.62,,,,,,,,,
SF,3.57,,,,,,,,,
NYG,3.27,,,,,,,,,
JAC,3.13,,,,,,,,,
BAL,3.01,,,,,,,,,
